2026-05-29 00:25:50,338 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:25:50,454 | INFO | QApplication created
2026-05-29 00:26:10,177 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:26:10,209 | INFO | QApplication created
2026-05-29 00:26:10,209 | INFO | setApplicationName done
2026-05-29 00:26:10,221 | INFO | setStyle done
2026-05-29 00:26:10,228 | INFO | setWindowIcon done
2026-05-29 00:26:10,228 | INFO | theme loaded
2026-05-29 00:26:10,228 | INFO | creating DatabaseManager
2026-05-29 00:26:10,231 | INFO | DatabaseManager created
2026-05-29 00:26:10,231 | INFO | creating AppEventBus
2026-05-29 00:26:10,232 | INFO | AppEventBus created
2026-05-29 00:26:10,232 | INFO | creating AuthService
2026-05-29 00:26:10,240 | INFO | AuthService created
2026-05-29 00:26:10,241 | INFO | ensure_admin completed
2026-05-29 00:26:10,241 | INFO | creating PhishingService
2026-05-29 00:26:10,248 | INFO | PhishingService created
2026-05-29 00:26:10,248 | INFO | creating ProtectionService
2026-05-29 00:26:10,249 | INFO | ProtectionService created
2026-05-29 00:26:10,249 | INFO | creating AnalyticsService
2026-05-29 00:26:10,249 | INFO | AnalyticsService created
2026-05-29 00:26:10,249 | INFO | creating CyberDefenseWindow
2026-05-29 00:26:50,417 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:26:50,449 | INFO | QApplication created
2026-05-29 00:26:50,450 | INFO | setApplicationName done
2026-05-29 00:26:50,458 | INFO | setStyle done
2026-05-29 00:26:50,466 | INFO | setWindowIcon done
2026-05-29 00:26:50,467 | INFO | theme loaded
2026-05-29 00:26:50,467 | INFO | creating DatabaseManager
2026-05-29 00:26:50,470 | INFO | DatabaseManager created
2026-05-29 00:26:50,470 | INFO | creating AppEventBus
2026-05-29 00:26:50,471 | INFO | AppEventBus created
2026-05-29 00:26:50,471 | INFO | creating AuthService
2026-05-29 00:26:50,471 | INFO | AuthService created
2026-05-29 00:26:50,472 | INFO | ensure_admin completed
2026-05-29 00:26:50,472 | INFO | creating PhishingService
2026-05-29 00:26:50,484 | INFO | PhishingService created
2026-05-29 00:26:50,484 | INFO | creating ProtectionService
2026-05-29 00:26:50,485 | INFO | ProtectionService created
2026-05-29 00:26:50,485 | INFO | creating AnalyticsService
2026-05-29 00:26:50,485 | INFO | AnalyticsService created
2026-05-29 00:26:50,485 | INFO | creating CyberDefenseWindow
2026-05-29 00:26:50,487 | INFO | CyberDefenseWindow.__init__: start
2026-05-29 00:26:50,487 | INFO | creating MonitoringService
2026-05-29 00:26:50,502 | INFO | MonitoringService created
2026-05-29 00:26:50,502 | INFO | connected sample_ready
2026-05-29 00:27:11,048 | INFO | startup: workspace initialized, beginning app startup
2026-05-29 00:27:11,083 | INFO | QApplication created
2026-05-29 00:27:11,083 | INFO | setApplicationName done
